Suburb,AverageMonthlyKL,Latitude,Longitude
ATHLONE,11,-33.96722,18.50214
AURORA,10,-32.705958,18.485135
BANTRY BAY,13,-33.927953,18.382592
BELLVILLE SOUTH,11,-33.920011,18.642819
BERGVLIET,8,-34.047464,18.452499
BISHOP LAVIS,9,-33.947283,18.575133
BISHOPSCOURT,12,-33.991092,18.444217
BLOMTUIN,9,-33.882677,18.652075
BONTEHEUWEL,9,-33.950161,18.554446
BOTHASIG,9,-33.860418,18.544612
BRANDWAG,10,-34.065011,22.06257
BRIDGETOWN,11,-33.95,18.533333
BROOKLYN,11,-33.90982,18.481978
CLAREMONT,7,-33.985847,18.45749
CLIFTON,13,-33.934259,18.378476
CLOVELLY,5,-34.124867,18.432759
CONSTANTIA,11,-34.01832,18.441142
CRAVENBY,13,-33.926369,18.593577
CRAWFORD,12,-33.978555,18.50413
CROSSROADS,8,-33.994451,18.595982
DURBANVILLE,9,-33.841588,18.651795
DURBANVILLE HILLS,10,-33.85006,18.638249
EDGEMEAD,7,-33.874974,18.542875
EERSTERIVIER,9,-33.999247,18.734692
ELIM,9,-34.589721,19.757882
EPPING FOREST,9,-33.935076,18.577562
GARDEN VILLAGE,9,-33.93624,18.487486
GARDENS,9,-33.936051,18.404945
GAYLEE,12,-33.974819,18.701351
GLENCAIRN,6,-34.155909,18.41995
GRASSY PARK,12,-34.047195,18.498626
GREEN POINT,9,-33.910012,18.403859
GUGULETU,10,-33.983511,18.570596
HANOVER PARK,9,-33.994609,18.529775
HAPPY VALLEY,7,-33.933406,20.074828
HEATHFIELD,9,-34.047645,18.46808
HEIDEVELD,9,-33.964769,18.548435
HOUT BAY,9,-34.033333,18.35
KALK BAY,6,-34.124958,18.450676
KENSINGTON,11,-33.915435,18.501743
KOMMETJIE,7,-34.138929,18.329108
LAKESIDE,6,-34.089125,18.458681
LANGA,9,-33.945057,18.534307
LANSDOWNE,12,-33.987354,18.497457
LAVENDER HILL,9,-34.073458,18.486572
LLANDUDNO,9,-34.009198,18.344159
LOTUS RIVER,11,-34.037828,18.517059
MACASSAR,11,-34.064046,18.763337
MAITLAND,12,-33.921734,18.490299
MAMRE,9,-33.512728,18.473736
MANENBERG,11,-33.98972,18.556274
MATROOSFONTEIN,9,-33.940598,18.574469
MEADOWRIDGE,8,-34.032796,18.452906
MFULENI,8,-33.998061,18.672907
MILNERTON,9,-33.874573,18.499149
MONTANA,11,-33.422832,19.204617
MONTE VISTA,8,-33.879053,18.554474
MOWBRAY,8,-33.948024,18.473333
MUIZENBERG,6,-34.104509,18.468289
NEWLANDS,8,-33.966667,18.483333
NOOITGEDACHT,10,-33.619813,19.7421
NOORDHOEK,9,-32.718097,19.066886
NYANGA,10,-33.987472,18.585457
OAKDALE,8,-33.833333,18.683333
OBSERVATORY,7,-33.936126,18.467872
OCEAN VIEW,10,-34.148613,18.353646
ORANJEZICHT,10,-33.942532,18.408982
OTTERY,10,-34.016785,18.505041
PARKWOOD,13,-34.028863,18.4955
PAROW,13,-33.897228,18.599924
PENHILL,12,-33.993096,18.733482
PHILADELPHIA,9,-33.665835,18.581233
PHILIPPI,9,-34.008747,18.542716
PINELANDS,9,-33.934769,18.517694
PLUMSTEAD,8,-34.019091,18.478345
RAVENSMEAD,11,-33.921362,18.609081
RIVERSIDE,8,-34.140273,18.882027
ROCKLANDS,10,-34.216818,18.463655
ROSEBANK,8,-33.950865,18.471641
ROSENDAL,10,-33.833333,18.516667
RUGBY,9,-33.895717,18.490115
SALT RIVER,11,-33.932547,18.466182
SANDDRIFT,8,-33.883289,18.504209
SCARBOROUGH,4,-34.198909,18.377605
SCHOONGEZICHT,9,-33.818626,18.651614
SEA POINT,10,-33.9198,18.389271
SILVERTOWN,10,-33.963653,18.530105
SOMERSET WEST,6,-34.079375,18.85699
SONSTRAAL,10,-33.844689,18.663242
SOUTHFIELD,9,-34.033874,18.485929
STEENBERG,10,-34.074425,18.470234
STELLENBERG,9,-33.866088,18.659923
STRAND,9,-34.106869,18.827513
STRANDFONTEIN,9,-34.073097,18.561189
TABLE VIEW,8,-33.819128,18.488102
TAMBOERSKLOOF,8,-33.929411,18.404388
THORNTON,9,-33.922449,18.536199
THREE ANCHOR BAY,9,-33.909067,18.395743
TOKAI,8,-34.060458,18.437825
VREDEHOEK,8,-33.940992,18.421302
VYGEBOOM,13,-34.066379,19.10953
WELGEMOED,11,-33.877069,18.617141
WESBANK,7,-33.594102,22.192635
WESTLAKE,11,-34.07607,18.437924
WINDERMERE,10,-33.908311,18.520216
WITSAND,9,-34.395474,20.844846
WOODLANDS,9,-34.1,18.383333
WOODSTOCK,9,-33.931564,18.444802
WYNBERG,9,-33.983333,18.4
BRANDWACHT,0,-33.622557,19.413941
FAURE,0,-34.027804,18.748525
FERNWOOD,0,-33.983333,18.45
GOEDE HOOP,0,-33.604011,18.970768
GOOD HOPE,0,-34.098713,18.385622
HIGH RIDING,0,-34.101328,18.389407
KHAYELITSHA,0,-34.039321,18.679156
KRAAIFONTEIN,0,-33.848084,18.717235
MONTAGUE GARDENS,0,-33.863523,18.520323
MOUILLE POINT,0,-33.900271,18.405314
OUDEKRAAL,0,-34.25,19.6
YSTERPLAAT,0,-33.906357,18.490785
